a,b,c,root
37,-83,37,1.63
-85,38,52,1.037
-39,56,51,2.068
15,-48,-36,3.827
22,-90,-19,4.292
45,-64,-84,2.251
-65,63,63,1.582
-98,11,98,1.058
1,-51,10,50.803
-71,59,39,1.265
-20,20,66,2.384
-62,39,40,1.177
26,-74,-73,3.621
-16,99,-33,5.834
-1,-49,94,1.849
66,-78,10,1.035
-37,75,-37,1.178
71,-98,7,1.305
-55,92,64,2.201
87,-36,-88,1.234
29,-84,22,2.605
86,-61,-64,1.287
-57,15,72,1.263
-33,7,60,1.459
71,-53,-84,1.523
4,55,86,-1.799
-56,13,100,1.457
-4,63,47,16.464
53,-99,-39,2.202
-57,62,77,1.827
-79,59,39,1.169
6,-71,-82,12.893
4,-60,25,14.571
-11,59,6,5.463
-49,69,80,2.163
88,-75,-45,1.259
6,97,92,-1.012
-27,73,6,2.784
-41,58,66,2.16
33,29,-77,1.15
-19,56,24,3.327
-30,50,31,2.148
35,-86,50,1.513
8,-36,-86,6.226
91,-87,-100,1.63
-58,53,82,1.731
-73,59,57,1.376
49,-2,-65,1.172
15,-41,-19,3.137
90,-31,-69,1.065
-15,-27,42,1
-13,61,19,4.985
22,85,68,-1.131
-26,75,-12,2.715
61,-3,-96,1.279
48,3,-64,1.124
57,-96,-17,1.846
-10,-77,-87,-1.376
-45,92,-33,1.58
-16,61,84,4.887
-71,84,95,1.891
-52,75,19,1.662
-12,50,24,4.601
77,-37,-98,1.394
31,48,-94,1.131
-80,41,73,1.245
21,-86,-52,4.63
50,-18,-72,1.393
-29,75,-12,2.415
-23,25,48,2.087
14,-81,-85,6.693
82,-43,-54,1.115
24,-18,-36,1.656
62,-71,-19,1.369
45,-52,-45,1.733
-12,-58,-54,-1.259
-58,68,72,1.845
-29,-30,72,1.141
-71,90,73,1.83
91,-70,-47,1.2
-80,96,5,1.25
-77,81,13,1.193
-78,-5,88,1.031
-43,71,41,2.104
61,-26,-46,1.107
100,-11,-89,1
40,-54,-36,1.839
-20,87,64,4.991
72,-13,-81,1.155
-83,51,74,1.3
-5,-90,-97,-1.151
30,-29,-87,2.254
-11,38,42,4.335
-28,40,65,2.397
29,-10,-35,1.284
-68,9,71,1.09
21,-96,-35,4.911
-30,96,31,3.496
-69,96,69,1.914
33,-45,-44,2.023
36,-35,-88,2.123
-47,8,40,1.012
62,-96,5,1.494
39,-75,-8,2.024
-3,87,-77,28.086
55,-82,-6,1.561
71,-90,-95,1.953
-3,56,-57,17.586
-2,61,-26,30.068
-40,91,22,2.495
-52,60,33,1.561
-9,95,79,11.33
-1,80,-90,78.859
33,34,-93,1.241
30,-90,40,2.457
15,-90,89,4.751
-28,98,71,4.116
-30,51,32,2.188
-34,65,93,2.866
27,-28,-30,1.693
-58,8,79,1.238
-4,-83,-80,-1.013
-20,68,-43,2.56
-42,-15,97,1.352
-8,69,15,8.837
-8,33,83,5.887
-30,11,47,1.448
17,15,-58,1.458
-29,74,8,2.656
42,-74,-88,2.575
-51,53,17,1.296
39,-87,29,1.823
-39,20,86,1.763
37,-90,-19,2.628
85,-40,-86,1.268
61,-51,-95,1.734
-18,59,84,4.35
-62,77,22,1.481
-88,20,70,1.013
-23,-35,68,1.119
74,-99,-45,1.696
4,-67,60,15.801
95,-24,-92,1.118
88,-69,-38,1.157
15,-80,74,4.142
32,-68,-97,3.102
-6,94,-34,15.296
33,-83,43,1.785
-43,58,55,1.991
-54,76,1,1.42
-36,50,12,1.598
11,-22,-11,2.414
51,-89,-97,2.505
-3,67,-14,22.122
-12,58,85,6.012
-86,53,100,1.43
53,-69,-76,2.014
19,-74,-51,4.492
-13,17,92,3.393
10,-70,-31,7.418
11,-98,3,8.878
-8,-33,73,1.595
46,-67,-89,2.298
-82,73,85,1.556
-4,5,47,4.109
-61,48,25,1.145
19,-59,12,2.886
-27,-27,71,1.197
-73,19,61,1.053
12,-75,-7,6.342
-82,52,45,1.123
-18,67,-5,3.646
58,-44,-37,1.264
10,-32,-45,4.257
8,48,-70,1.213
5,-59,-10,11.967
81,-39,-44,1.016
55,-93,-18,1.866
-9,95,99,11.511
43,-34,-39,1.427
-56,45,29,1.226
92,-73,-100,1.512
35,10,-72,1.299
44,-49,-100,2.164
19,-71,-6,3.82
2,45,92,-2.274
24,-32,-89,2.705
-16,-85,-87,-1.384
15,-37,1,2.439
3,27,-95,2.705
-10,42,35,4.912
-2,28,-84,9.646
-20,-9,89,1.896
46,19,-86,1.176
-18,87,50,5.352
-58,57,74,1.723
55,-49,-81,1.738
-43,26,49,1.412
-100,14,92,1.032
-14,88,40,6.711
-16,39,-20,1.704
40,-73,11,1.659
-43,86,28,2.285
23,4,-30,1.058
-68,49,67,1.416
-13,93,32,7.483
23,-15,-99,2.426
91,-50,-43,1.015
-77,68,29,1.198
-7,-56,92,1.398
-40,53,-9,1.125
-22,59,68,3.552
-99,80,44,1.184
44,-99,-59,2.739
16,-29,-93,3.482
26,-37,-40,2.141
-81,74,80,1.551
-14,76,-19,5.166
23,-61,-83,3.643
-86,61,56,1.236
-12,92,75,8.41
-2,-23,64,2.316
16,1,-28,1.292
41,-50,-23,1.576
20,-34,-87,3.102
10,-71,48,6.343
-48,-3,65,1.133
-80,63,62,1.358
-99,44,77,1.132
2,-9,-10,5.422
-89,37,95,1.262
-9,86,-29,9.206
-33,82,38,2.884
21,-49,-55,3.162
25,-98,-36,4.258
21,-43,-79,3.217
44,22,-68,1.018
-5,57,78,12.635
9,-61,-92,8.048
-6,54,-42,8.14
-41,72,88,2.586
-6,56,-35,8.66
40,-15,-39,1.193
-50,21,95,1.604
-44,49,15,1.364
-2,-38,49,1.212
2,-38,61,17.23
15,-47,-86,4.428
-97,52,100,1.318
92,-47,-48,1.022
53,5,-80,1.182
37,-82,44,1.305
4,-54,-41,14.221
80,-40,-74,1.244
-13,24,5,2.035
-25,3,68,1.71
32,-67,35,1.094
-6,-60,-83,-1.658
15,70,72,-1.531
-27,54,27,2.414
29,-34,-77,2.318
-73,98,17,1.498
-50,93,7,1.932
27,-32,-86,2.473
14,-83,21,5.664
-3,95,31,31.99
-79,77,43,1.372
91,-24,-79,1.073
-51,6,47,1.021
34,-34,-43,1.731
59,-49,-86,1.692
-69,77,63,1.664
-3,100,-24,33.092
71,-62,-46,1.352
2,-86,30,42.648
-30,92,30,3.364
-9,88,59,10.408
-84,86,29,1.291
85,-79,-92,1.604
-36,100,59,3.278
38,-73,29,1.36
45,20,-98,1.27
14,11,-73,1.924
-16,81,-20,4.802
-50,58,37,1.617
48,-71,-72,2.17
6,75,-98,1.193
2,-37,-12,18.819
56,-42,-14,1
-37,86,-35,1.798
1,-17,70,10
-29,96,64,3.879
-4,49,89,13.856
70,-60,-79,1.574
36,10,-96,1.5
6,-49,-27,8.685
32,-69,2,2.127
-9,94,-60,9.761
63,-93,-9,1.567
81,-53,-41,1.11
56,4,-92,1.247
29,-3,-40,1.227
-61,66,33,1.454
50,-80,-93,2.381
-88,79,95,1.581
-1,-81,82,1
-8,100,8,12.579
-9,-34,80,1.641
21,-14,-37,1.702
-3,33,-46,9.362
-32,32,51,1.858
-71,-15,89,1.019
10,-78,-99,8.911
16,-31,-19,2.427
50,-39,-50,1.463
20,-21,-72,2.494
65,-88,-61,1.859
-21,36,72,2.898
-6,16,-8,2
23,-86,77,2.254
55,-95,4,1.684
15,-21,-67,2.926
95,-24,-73,1.012
-18,-72,-55,-1.028
38,-26,-77,1.806
-3,-32,86,2.224
-73,98,25,1.562
17,-34,-15,2.372
-18,31,6,1.898
-3,95,63,32.316
97,-100,-46,1.376
-45,30,33,1.252
52,-76,-42,1.889
31,-53,-10,1.881
1,-72,-19,72.263
-1,90,-13,89.855
-36,67,26,2.191
-57,56,19,1.249
76,-96,-23,1.469
93,-44,-66,1.112
72,-84,-32,1.469
17,3,-93,2.252
-6,79,15,13.354
5,30,-60,1.583
-29,78,32,3.051
-27,98,20,3.823
25,-82,-35,3.662
-52,89,85,2.394
76,-17,-70,1.078
-26,-23,92,1.49
45,-82,-97,2.639
-16,4,50,1.897
-47,99,-13,1.966
-16,-32,53,1.077
79,-54,-70,1.343
14,-40,-13,3.152
-52,-8,63,1.026
-33,56,52,2.364
36,-91,55,1.528
9,-95,67,9.796
-49,64,51,1.864
57,-93,1,1.621
46,-63,-54,1.967
-32,41,31,1.815
-95,55,93,1.32
25,-53,-24,2.503
86,-79,-20,1.125
50,-91,19,1.579
-7,73,54,11.122
19,-30,-35,2.36
57,23,-80,1
-5,29,-39,3.681
63,-78,-37,1.604
15,66,-94,1.133
57,14,-76,1.038
-60,59,5,1.062
90,-79,-57,1.348
56,-91,-2,1.647
-65,-7,81,1.064
29,63,-93,1.008
-36,-18,79,1.252
-1,-1,2,1
-77,76,41,1.374
99,-93,-81,1.489
-64,74,6,1.232
-76,97,57,1.714
35,-58,-89,2.626
-50,-21,81,1.08
68,-95,-48,1.791
-14,71,-48,4.268
44,-29,-94,1.828
-56,98,-25,1.44
-20,-24,78,1.464
80,-97,-43,1.558
-11,69,-87,4.525
-14,72,74,6.021
3,92,91,-1.023
31,-9,-25,1.055
-4,59,-27,14.277
-56,96,-37,1.129
-39,35,34,1.485
17,-9,-47,1.948
-59,99,1,1.688
40,-9,-38,1.094
-36,79,-20,1.902
-95,37,100,1.239
24,-22,-98,2.53
2,89,99,-1.142
57,-69,-85,1.968
37,-13,-72,1.582
51,-78,-58,2.077
-88,72,31,1.13
-22,65,25,3.299
2,-53,-96,28.202
40,-94,33,1.92
60,-53,-16,1.121
-14,51,67,4.668
72,-46,-50,1.212
10,9,-55,1.938
4,-25,18,5.42
-4,35,55,10.11
12,-88,-8,7.423
79,-73,-54,1.409
-22,69,80,4.037
-25,54,85,3.217
6,48,-75,1.339
11,1,-58,2.251
9,40,38,-1.376
36,-9,-30,1.046
-6,100,-83,15.791
-1,38,-39,36.944
-83,86,74,1.595
-9,95,-30,10.23
59,-71,-87,1.957
91,-16,-95,1.113
-80,86,76,1.651
-75,34,97,1.386
-22,9,49,1.711
67,-60,-23,1.185
15,-68,70,2.953
20,-49,-97,3.745
-3,23,90,10.519
70,-64,-71,1.563
40,5,-64,1.204
-24,45,-8,1.676
36,-30,-39,1.538
43,-75,12,1.566
94,-16,-81,1.017
4,85,-99,1.107
-55,99,53,2.232
9,-61,57,5.659
-53,44,15,1.09
47,6,-72,1.176
5,-18,-23,4.6
-70,91,49,1.709
-6,92,26,15.611
-93,71,86,1.416
-33,-27,73,1.133
32,93,65,-1.17
9,73,92,-1.56
-20,2,41,1.483
30,-38,-19,1.65
-9,29,83,5.049
-47,3,83,1.361
77,-99,-8,1.362
-34,69,-4,1.97
-38,45,52,1.903
-65,50,33,1.194
-29,68,-31,1.725
-73,36,81,1.328
18,-72,-80,4.906
-65,81,58,1.755
25,-58,-70,3.196
-67,61,91,1.706
-36,-24,88,1.265
-38,79,-23,1.729
-48,-1,50,1.01
-49,96,37,2.289
19,-93,-100,5.802
-14,62,53,5.162
-38,71,85,2.698
-34,25,98,2.105
-4,-3,60,3.516
46,-96,-36,2.411
45,-21,-96,1.712
5,36,-54,1.274
76,-4,-92,1.127
70,-64,-47,1.395
56,-40,-57,1.427
5,46,64,-1.709
46,50,-96,1
-88,42,57,1.078
-2,72,82,37.105
-90,78,70,1.416
24,-49,-1,2.062
-6,38,58,7.605
31,-23,-86,2.077
-89,72,58,1.307
-19,56,79,3.99
37,-38,-52,1.805
80,-75,-7,1.023
25,-52,-92,3.222
12,-71,-83,6.917
-57,13,87,1.355
-60,-7,73,1.046
10,-47,-54,5.655
24,70,-98,1.034
52,7,-92,1.265
22,-56,-100,3.756
-54,98,-10,1.706
26,-98,43,3.262
65,-92,17,1.197
-2,-8,36,2.69
-21,55,88,3.74
-42,74,-23,1.359
40,28,-72,1.037
21,-90,-77,5.017
-99,92,51,1.32
-24,36,48,2.351
-22,50,-6,2.146
-31,90,52,3.397
47,-98,48,1.299
29,-86,61,1.791
-17,100,-13,5.749
-6,51,22,8.911
59,-12,-76,1.241
51,-83,-21,1.85
17,-92,18,5.208
-10,-75,89,1.042
32,-79,-98,3.376
1,-21,-6,21.282
-12,51,56,5.155
94,-26,-68,1
7,49,73,-2.15
18,-96,-5,5.385
-65,84,26,1.55
46,-71,-14,1.72
-8,-84,93,1.01
38,15,-79,1.258
-60,13,53,1.054
3,-40,24,12.704
-28,-10,82,1.542
3,45,-100,1.965
81,-36,-74,1.204
20,63,-89,1.058
8,-53,6,6.51
-39,48,70,2.09
1,-45,85,43.024
-42,-39,83,1.016
-32,42,26,1.771
-6,56,55,10.229
7,-59,-62,9.373
-9,10,84,3.661
13,1,-54,2
-42,76,-31,1.188
47,-92,-27,2.217
73,-15,-92,1.23
35,-3,-87,1.62
64,-94,-24,1.691
88,-83,-18,1.125
52,1,-59,1.056
13,-51,-34,4.504
62,-56,-33,1.31
9,-92,-36,10.6
-16,69,-37,3.685
-62,77,7,1.327
-93,84,88,1.524
-73,74,21,1.245
10,-78,25,7.465
-4,99,90,25.628
-83,85,67,1.546
-39,69,44,2.267
94,-44,-81,1.191
-46,43,96,1.986
-56,42,54,1.426
-87,39,57,1.064
35,-16,-70,1.661
34,-35,-47,1.798
-62,-8,73,1.022
-69,73,76,1.704
-20,-63,93,1.095
-88,81,58,1.393
35,-50,-39,1.989
-9,79,36,9.212
17,-99,96,4.594
3,-29,-32,10.667
-11,-87,-89,-1.207
-71,37,51,1.147
1,-30,6,29.799
43,39,-86,1.032
-34,75,-23,1.838
81,-70,-40,1.257
25,-61,-91,3.485
54,-89,-88,2.344
-13,44,69,4.551
-24,7,85,2.033
28,-44,-66,2.51
-28,3,76,1.702
-44,35,48,1.515
-8,87,-20,10.64
-26,67,90,3.552
-13,30,87,3.986
43,19,-82,1.178
98,-50,-95,1.272
27,-38,-97,2.726
-6,79,26,13.488
84,-24,-89,1.182
23,-53,27,1.544
-11,51,-4,4.557
22,-46,7,1.926
-12,76,-87,4.833
98,-45,-77,1.145
8,-44,23,4.915
-31,-9,62,1.276
91,-68,-48,1.19
39,-3,-41,1.065
-41,90,44,2.607
-57,-11,86,1.136
-7,89,31,13.054
-63,85,-20,1.046
-7,95,-41,13.125
22,33,-66,1.137
34,-40,-76,2.195
-36,69,-21,1.537
69,-44,-61,1.312
-12,28,61,3.705
-65,33,60,1.248
-60,70,82,1.89
83,-86,-97,1.717
6,-6,-67,3.879
-36,50,12,1.598
44,-89,40,1.349
11,84,78,-1.082
59,-82,-17,1.573
31,25,-63,1.078
-40,62,82,2.403
-37,-22,65,1.061
-56,95,-13,1.546
89,-61,-35,1.057
13,6,-28,1.255
42,-66,19,1.192
-26,27,27,1.663
-40,3,92,1.555
-2,39,15,19.877
33,38,-77,1.057
-19,45,64,3.368
-19,91,-64,3.933
54,-98,29,1.443
74,-15,-90,1.209
30,39,-91,1.209
90,-99,-63,1.551
30,-68,29,1.697
60,-68,2,1.103
-23,58,5,2.605
-37,77,71,2.773
67,14,-96,1.097
31,-52,14,1.341
55,-64,-91,1.994
74,-77,-24,1.292
-42,39,66,1.801
-3,5,65,5.562
-48,64,3,1.379
-30,66,36,2.652
-44,47,95,2.098
-3,86,-22,28.409
-15,29,67,3.291
35,-83,29,1.946
-75,31,95,1.351
-18,78,44,4.839
-54,20,69,1.331
11,-53,41,3.85
86,-69,-87,1.484
41,-77,-29,2.2
-38,61,-19,1.182
71,-70,-24,1.255
2,-20,-54,12.211
21,-71,-33,3.795
-28,-19,77,1.353
-71,85,47,1.609
7,-86,-58,12.927
49,-91,4,1.812
85,-36,-56,1.051
-27,28,16,1.447
89,-59,-97,1.427
11,-47,-91,5.719
-73,43,69,1.31
-79,78,68,1.545
7,41,-78,1.512
-13,77,28,6.267
32,-61,-69,2.704
-49,98,58,2.478
32,-67,-46,2.639
-79,38,96,1.369
-1,1,32,6.179
30,-54,-37,2.329
24,-59,-1,2.475
-1,37,-44,35.77
71,-77,-53,1.562
-9,-23,63,1.66
-8,-62,-80,-1.635
-1,80,-78,79.013
13,-90,13,6.775
-53,59,14,1.314
11,-67,81,4.428
37,10,-83,1.369
70,-50,-39,1.185
24,-60,-22,2.825
-82,95,67,1.653
-90,84,97,1.605
-14,62,-3,4.38
68,-82,14,1
-77,96,10,1.343
-25,33,48,2.195
4,-50,-77,13.886
-14,2,63,2.194
-62,22,89,1.389
18,74,68,-1.387
-68,-13,87,1.04
81,-68,-43,1.261
-12,72,76,6.916
-22,59,18,2.958
-97,99,49,1.385
-7,94,27,13.71
37,1,-45,1.089
10,-8,-43,2.512
-59,86,68,2.026
65,-80,-10,1.345
-36,78,-36,1.5
-25,89,-20,3.319
41,-77,-25,2.16
86,-67,-76,1.407
34,-99,-45,3.311
15,4,-67,1.984
-58,69,35,1.573
-73,69,40,1.351
-90,35,95,1.24
-63,21,83,1.327
-25,5,88,1.979
-23,-38,65,1.047
-95,69,98,1.442
-3,-61,79,1.222
5,-45,77,6.702
-26,59,13,2.472
-69,43,35,1.089
47,-43,-41,1.497
88,-67,-72,1.362
-85,42,84,1.271
23,-69,-15,3.204
70,-74,-23,1.308
-61,99,-11,1.503
49,-99,39,1.484
-86,30,75,1.124
-5,89,99,18.85
17,1,-55,1.77
53,-6,-94,1.39
-94,37,69,1.076
72,-72,-61,1.547
8,-30,-27,4.5
-16,39,23,2.928
-7,-55,-72,-1.66
18,-83,93,2.691
-61,18,81,1.309
86,-51,-93,1.378
-39,61,38,2.041
-57,20,42,1.052
-8,83,31,10.736
69,-88,-35,1.594
78,-90,-61,1.633
13,-14,-59,2.736
-39,72,-18,1.548
-17,62,22,3.973
-39,88,-2,2.233
-56,73,52,1.815
-65,19,98,1.383
-59,29,67,1.339
9,-64,-51,7.834
12,-78,66,5.5
62,-64,-1,1.048
47,-97,-53,2.513
35,11,-62,1.183
9,9,-20,1.072
-50,93,-6,1.793
-74,3,93,1.142
-2,-31,-52,-1.914
-10,73,-84,5.869
13,-19,-47,2.768
84,-37,-56,1.066
-14,79,70,6.421
6,-53,-56,9.787
95,-61,-56,1.153
72,-75,-59,1.565
-20,85,29,4.567
39,-65,26,1
-61,51,38,1.311
-37,-6,55,1.141
53,-93,-30,2.033
-31,78,29,2.845
30,-98,20,3.048
8,82,99,-1.398
9,31,25,-1.288
12,-98,-4,8.207
-70,34,87,1.384
11,-27,-94,4.398
82,-85,-82,1.645
-17,51,-11,2.766
-81,56,95,1.482
-77,81,25,1.301
-11,83,-73,6.529
-66,58,71,1.566
-30,12,33,1.268
27,-70,-26,2.922
-11,-14,61,1.803
41,-67,-36,2.06
-26,56,36,2.672
16,-4,-97,2.59
-25,-28,99,1.507
76,-69,-10,1.035
60,2,-95,1.242
-9,83,99,10.291
-17,54,100,4.487
-88,82,65,1.444
15,-10,-84,2.723
-29,-6,40,1.076
-31,81,91,3.461
-17,-79,-76,-1.36
-71,53,58,1.351
-81,79,61,1.483
-45,92,-21,1.783
42,3,-81,1.353
55,-25,-83,1.477
-22,32,40,2.259
-76,78,56,1.513
70,1,-91,1.133
-94,66,68,1.271
-1,62,-23,61.627
25,27,-65,1.16
35,-10,-76,1.623
-12,47,94,5.374
90,-89,-23,1.202
-39,27,85,1.863
36,30,-90,1.218
-49,43,48,1.521
38,-43,-65,1.991
8,-92,-89,12.397
22,-62,-31,3.252
14,-80,22,5.425
-6,3,15,1.851
-5,41,45,9.18
78,-2,-77,1.006
41,-38,-42,1.577
-23,91,42,4.374
66,-6,-63,1.024
28,11,-90,1.607
-17,98,16,5.924
5,-98,72,18.835
-19,82,-33,3.867
99,-48,-93,1.242
-63,29,83,1.401
-44,91,30,2.357
16,87,93,-1.462
57,32,-93,1.027
53,-51,-69,1.719
24,-48,-36,2.581
-4,11,76,5.946
48,-43,-87,1.867
49,-75,-81,2.262
13,-57,-75,5.444
34,-100,24,2.678
59,18,-94,1.119
-65,7,68,1.078
-15,54,21,3.954
-43,62,31,1.835
53,-26,-47,1.218
-3,98,11,32.779
65,-51,-20,1.072
58,-76,-30,1.628
-36,60,80,2.541
-23,84,30,3.98
45,-84,35,1.239
8,-31,-4,4
89,-52,-63,1.183
-64,55,11,1.027
23,-57,30,1.72
-16,62,-56,2.441
62,-40,-42,1.207
-59,-24,85,1.014
-22,4,27,1.202
-7,83,37,12.287
-34,98,96,3.655
-27,73,34,3.109
-2,81,-94,39.304
-30,73,-30,1.91
18,-66,-95,4.773
-3,2,29,3.46
-76,84,78,1.707
-25,78,6,3.195
12,-29,-13,2.803
-2,-19,-30,-2
-35,100,50,3.291
45,-100,17,2.037
-83,58,61,1.275
7,43,41,-1.18
-31,81,62,3.232
-8,48,74,7.272
24,-96,20,3.78
38,12,-98,1.456
-66,48,82,1.536
-39,90,5,2.362
-7,83,38,12.299
14,-53,-9,3.949
-15,25,78,3.261
-60,68,-3,1.087
19,-94,-7,5.021
14,-43,-85,4.439
-3,91,27,30.627
13,-81,5,6.168
90,-46,-86,1.266
45,34,-88,1.071
65,-100,11,1.419
45,-52,-65,1.911
-9,34,15,4.177
-56,14,71,1.258
-2,31,-24,14.683
4,7,-87,3.87
10,54,-94,1.385
14,-19,-80,3.163
-52,69,20,1.572
-56,90,-10,1.487
-59,-27,95,1.061
-3,-25,56,1.836
-12,-88,-87,-1.178
-72,95,-2,1.298
18,16,-56,1.375
41,25,-72,1.055
-13,-43,-31,-1.062
-26,89,39,3.816
23,-15,-31,1.532
12,-88,65,6.5
-27,94,27,3.748
-60,59,97,1.855
35,-72,-56,2.659
78,-21,-62,1.036
-88,50,100,1.387
39,-40,-42,1.67
-71,68,97,1.742
-48,-4,88,1.313
-7,-76,-79,-1.164
58,-14,-87,1.351
70,-97,16,1.194
8,-68,-81,9.559
-92,78,99,1.545
11,-95,-55,9.181
21,-53,12,2.272
-27,84,-26,2.763
30,-59,-8,2.094
-44,97,18,2.377
-18,96,45,5.767
82,-71,-36,1.224
-11,96,44,9.164
2,34,83,-2.955
55,-35,-77,1.543
-53,-12,72,1.058
10,6,-93,2.764
-61,45,51,1.355
42,-43,-99,2.13
-83,50,38,1.042
-4,94,39,23.908
-36,85,61,2.938
-39,28,21,1.176
-32,-30,94,1.308
86,-99,-8,1.227
44,-75,31,1
16,-45,-57,3.76
7,-90,9,12.756
-21,39,-15,1.313
7,-73,-56,11.146
-72,86,-7,1.107
1,-57,-47,57.813
-42,96,13,2.414
29,36,-73,1.083
74,-100,-67,1.843
59,14,-94,1.149
44,-14,-41,1.137
-11,95,23,8.872
87,-94,-20,1.263
18,1,-83,2.12
-44,93,67,2.682
43,-24,-33,1.198
-19,32,82,3.084
-23,66,51,3.503
-22,-42,74,1.113
-24,71,60,3.644
-58,25,44,1.113
-17,38,20,2.675
-9,69,-32,7.171
68,-95,-12,1.514
28,-10,-39,1.372
-15,25,-5,1.434
-12,-4,33,1.5
26,-87,-25,3.612
-17,29,87,3.271
85,-98,-1,1.163
10,-66,89,4.711
5,-81,40,15.69
11,-99,-95,9.875
60,-74,-10,1.356
35,17,-62,1.11
64,-95,-80,2.084
10,-23,-76,4.137
4,-98,42,24.064
-11,67,45,6.701
2,-10,-28,7
2,-75,11,37.353
33,-48,-78,2.428
3,41,58,-1.603
-52,38,22,1.111
-74,94,-5,1.215
95,-87,-51,1.322
-48,88,17,2.01
-10,26,90,4.57
-73,62,51,1.362
62,-23,-86,1.378
20,-32,-21,2.1
-41,90,44,2.607
9,-74,83,6.882
-39,80,55,2.595
-21,79,-67,2.47
-46,11,77,1.419
-7,59,25,8.833
-46,22,53,1.339
91,-70,-27,1.051
-50,39,98,1.843
-29,100,42,3.827
-3,-77,-89,-1.213
-32,98,53,3.531
13,-5,-53,2.221
-12,84,36,7.405
-3,67,51,23.07
7,-46,43,5.443
-60,33,31,1.045
-60,54,28,1.268
-11,97,-67,8.063
22,50,-72,1
-8,58,95,8.627
39,-89,-42,2.683
57,-44,-66,1.529
9,-65,34,6.655
-36,86,1,2.4
9,-24,-34,3.69
-86,89,50,1.439
-7,-25,64,1.726
29,-60,-23,2.399
-39,53,63,2.121
50,-48,-45,1.543
13,6,-32,1.355
53,-85,-23,1.84
-41,-32,100,1.22
45,21,-75,1.079
29,-85,20,2.673
8,47,39,-1
34,15,-52,1.036
10,-72,99,5.349
-20,31,27,2.172
-1,72,-6,71.917
36,-27,-13,1.083
-28,-27,94,1.412
-98,57,66,1.161
-71,81,92,1.844
-11,50,82,5.825
-30,21,17,1.18
-72,95,69,1.84
87,-92,4,1.012
48,-76,6,1.5
-46,71,77,2.278
-64,76,49,1.651
12,-33,-68,4.124
-95,69,28,1.016
-51,76,96,2.306
9,-42,-91,6.277
-75,84,66,1.653
67,-27,-53,1.113
-67,64,16,1.161
-24,97,-90,2.599
-14,99,89,7.878
29,-56,12,1.686
-87,57,86,1.374
49,-58,-93,2.091
-33,45,28,1.828
14,-64,-94,5.741
-39,27,70,1.73
-68,46,76,1.448
6,-100,79,15.835
-25,11,90,2.13
-20,63,-23,2.729
-96,71,44,1.141
65,-83,-39,1.642
-1,26,89,29.062
-46,99,41,2.508
-52,83,-18,1.337
43,-80,24,1.484
-5,49,-38,8.951
6,-97,35,15.797
-32,74,73,3.058
-57,45,17,1.069
-89,33,97,1.246
34,-100,-27,3.19
-97,76,84,1.401
-53,40,16,1.044
55,22,-96,1.136
-56,90,-8,1.513
-76,33,52,1.072
20,-88,-18,4.596
-97,50,83,1.218
-5,84,-62,16.026
-19,65,3,3.467
-89,81,81,1.512
-12,93,-75,6.836
-86,78,9,1.011
7,-60,66,7.275
-7,-25,48,1.384
-25,77,4,3.131
-14,4,27,1.539
-8,-49,96,1.561
18,-94,-41,5.627
74,-64,-32,1.219
21,-45,-29,2.662
-36,88,36,2.801
49,-13,-40,1.046
-14,-54,71,1.036
-11,54,66,5.922
-12,29,78,4.03
13,23,-88,1.863
-6,89,46,15.333
2,26,-35,1.23
15,-14,-97,3.052
80,-50,-44,1.117
-64,38,56,1.278
-2,-2,21,2.779
-8,-23,92,2.246
15,-65,-81,5.344
-5,82,30,16.758
100,-56,-71,1.168
-35,12,33,1.157
55,-63,3,1.096
-12,-47,76,1.23
-29,98,-63,2.516
2,-42,31,20.234
25,-65,-93,3.626
-66,89,-13,1.182
55,-48,-86,1.761
14,-61,-74,5.346
-27,65,49,3.01
59,-41,-47,1.305
-7,58,34,8.835
58,-52,-92,1.785
45,-77,-5,1.774
62,-4,-99,1.296
-7,33,2,4.774
-89,48,99,1.358
-44,-10,91,1.329
22,74,60,-1.364
35,-65,28,1.178
-6,-93,-97,-1.125
-29,69,8,2.49
23,-3,-72,1.836
-60,43,59,1.413
4,-73,-99,19.518
-98,31,84,1.097
-35,58,90,2.634
36,-78,37,1.465
-3,69,59,23.825
45,-29,-70,1.61
41,-87,-9,2.221
-86,93,86,1.678
82,-82,-54,1.453
-73,13,98,1.251
-15,99,-83,5.614
-84,79,93,1.623
-89,94,53,1.463
4,-56,-48,14.81
-2,12,93,10.45
-30,85,13,2.979
-36,40,54,1.9
-98,34,92,1.158
47,-9,-88,1.467
6,-50,-94,9.914
-12,82,-41,6.29
-32,20,80,1.924
7,-57,15,7.871
-52,-26,84,1.045
-7,97,-72,13.07
-1,-40,-97,-2.593
-2,32,-79,12.95
-4,21,52,7.085
7,-99,-67,14.79
35,-69,-1,1.986
-20,82,-19,3.853
82,-96,-78,1.723
25,-78,-30,3.466
94,-37,-71,1.088
-40,85,28,2.415
54,6,-96,1.279
32,-90,-64,3.401
-12,88,77,8.123
-24,16,81,2.2
-29,89,33,3.403
42,-99,-30,2.629
34,16,-78,1.298
-13,-6,55,1.839
55,15,-92,1.164
61,-88,-97,2.174
51,16,-84,1.136
-49,52,53,1.698
-48,95,-33,1.53
-86,50,89,1.349
-18,10,17,1.289
22,-97,3,4.378
-62,72,57,1.702
10,4,-66,2.377
97,-26,-85,1.08
